,Moeda,Data,Cotação (R$)
0,EUR,30/03/2023,5.5867
1,EUR,29/03/2023,5.5751
2,EUR,28/03/2023,5.611
3,EUR,27/03/2023,5.6443
4,EUR,24/03/2023,5.6954
5,EUR,23/03/2023,5.7316
6,EUR,22/03/2023,5.6823
7,EUR,21/03/2023,5.6482
8,EUR,20/03/2023,5.6266
9,EUR,17/03/2023,5.6093
10,EUR,16/03/2023,5.6192
11,EUR,15/03/2023,5.5821
12,EUR,14/03/2023,5.6148
13,EUR,13/03/2023,5.623
14,EUR,10/03/2023,5.5393
15,EUR,09/03/2023,5.4285
16,EUR,08/03/2023,5.4244
17,EUR,07/03/2023,5.4948
18,EUR,06/03/2023,5.5509
19,EUR,03/03/2023,5.5159
20,EUR,02/03/2023,5.5262
21,EUR,01/03/2023,5.558
22,USD,30/03/2023,5.1254
23,USD,29/03/2023,5.1493
24,USD,28/03/2023,5.1733
25,USD,27/03/2023,5.2306
26,USD,24/03/2023,5.2921
27,USD,23/03/2023,5.2632
28,USD,22/03/2023,5.2648
29,USD,21/03/2023,5.2444
30,USD,20/03/2023,5.2467
31,USD,17/03/2023,5.2679
32,USD,16/03/2023,5.2892
33,USD,15/03/2023,5.2981
34,USD,14/03/2023,5.2362
35,USD,13/03/2023,5.24
36,USD,10/03/2023,5.1822
37,USD,09/03/2023,5.1353
38,USD,08/03/2023,5.1387
39,USD,07/03/2023,5.1901
40,USD,06/03/2023,5.197
41,USD,03/03/2023,5.2037
42,USD,02/03/2023,5.208
43,USD,01/03/2023,5.207
44,JPY,30/03/2023,0.03862
45,JPY,29/03/2023,0.03881
46,JPY,28/03/2023,0.0395
47,JPY,27/03/2023,0.03978
48,JPY,24/03/2023,0.04051
49,JPY,23/03/2023,0.04018
50,JPY,22/03/2023,0.03969
51,JPY,21/03/2023,0.03965
52,JPY,20/03/2023,0.03987
53,JPY,17/03/2023,0.0399
54,JPY,16/03/2023,0.03976
55,JPY,15/03/2023,0.03989
56,JPY,14/03/2023,0.03898
57,JPY,13/03/2023,0.03935
58,JPY,10/03/2023,0.03859
59,JPY,09/03/2023,0.03767
60,JPY,08/03/2023,0.03754
61,JPY,07/03/2023,0.03794
62,JPY,06/03/2023,0.03823
63,JPY,03/03/2023,0.03817
64,JPY,02/03/2023,0.0381
65,JPY,01/03/2023,0.03826
66,CAD,30/03/2023,3.7865
67,CAD,29/03/2023,3.7932
68,CAD,28/03/2023,3.8003
69,CAD,27/03/2023,3.8221
70,CAD,24/03/2023,3.8457
71,CAD,23/03/2023,3.8541
72,CAD,22/03/2023,3.8373
73,CAD,21/03/2023,3.8197
74,CAD,20/03/2023,3.8342
75,CAD,17/03/2023,3.8306
76,CAD,16/03/2023,3.8442
77,CAD,15/03/2023,3.8398
78,CAD,14/03/2023,3.8293
79,CAD,13/03/2023,3.829
80,CAD,10/03/2023,3.7623
81,CAD,09/03/2023,3.7318
82,CAD,08/03/2023,3.7269
83,CAD,07/03/2023,3.7823
84,CAD,06/03/2023,3.818
85,CAD,03/03/2023,3.8198
86,CAD,02/03/2023,3.8286
87,CAD,01/03/2023,3.829
